DATE,USGBP,USEURO,TWEXUS
1/1/1999,1.6498,1.1591,114.5023
2/1/1999,1.6276,1.1203,116.0309
3/1/1999,1.6213,1.0886,117.4596
4/1/1999,1.6089,1.0701,116.8587
5/1/1999,1.6154,1.063,116.6886
6/1/1999,1.595,1.0377,117.2677
7/1/1999,1.5751,1.037,117.3448
8/1/1999,1.6058,1.0605,116.2908
9/1/1999,1.6247,1.0497,115.6301
10/1/1999,1.6572,1.0706,115.1131
11/1/1999,1.6205,1.0328,115.3816
12/1/1999,1.6132,1.011,115.4333
1/1/2000,1.6404,1.0131,115.2151
2/1/2000,1.6,0.9834,116.6867
3/1/2000,1.5799,0.9643,116.6735
4/1/2000,1.5823,0.9449,117.3307
5/1/2000,1.509,0.9059,119.9141
6/1/2000,1.5092,0.9505,118.701
7/1/2000,1.5076,0.9386,118.9958
8/1/2000,1.4889,0.9045,119.8154
9/1/2000,1.4336,0.8695,121.2054
10/1/2000,1.4506,0.8525,122.9712
11/1/2000,1.4258,0.8552,123.9732
12/1/2000,1.4629,0.8983,122.9532
1/1/2001,1.4775,0.9376,122.8101
2/1/2001,1.4525,0.9205,123.537
3/1/2001,1.4445,0.9083,125.5514
4/1/2001,1.4348,0.8925,126.518
5/1/2001,1.4265,0.8753,126.3995
6/1/2001,1.402,0.853,127.227
7/1/2001,1.4148,0.8615,127.6435
8/1/2001,1.4372,0.9014,125.555
9/1/2001,1.4638,0.9114,125.8961
10/1/2001,1.4501,0.905,126.7357
11/1/2001,1.4356,0.8883,127.2734
12/1/2001,1.4413,0.8912,127.3909
1/1/2002,1.4322,0.8832,128.898
2/1/2002,1.4227,0.8707,129.6402
3/1/2002,1.423,0.8766,128.9149
4/1/2002,1.4429,0.886,128.5416
5/1/2002,1.4598,0.917,126.9577
6/1/2002,1.4837,0.9561,125.5364
7/1/2002,1.5565,0.9935,123.8053
8/1/2002,1.5368,0.9781,125.1962
9/1/2002,1.5563,0.9806,126.0642
10/1/2002,1.5575,0.9812,127.0413
11/1/2002,1.5711,1.0013,125.732
12/1/2002,1.5863,1.0194,125.0607
1/1/2003,1.6175,1.0622,123.5596
2/1/2003,1.6079,1.0785,123.3993
3/1/2003,1.5825,1.0797,122.8932
4/1/2003,1.5739,1.0862,121.9479
5/1/2003,1.6224,1.1556,117.9449
6/1/2003,1.6609,1.1674,117.3416
7/1/2003,1.6221,1.1365,118.4927
8/1/2003,1.5939,1.1155,119.8556
9/1/2003,1.6155,1.1267,118.6206
10/1/2003,1.6792,1.1714,116.1571
11/1/2003,1.6897,1.171,116.0338
12/1/2003,1.7516,1.2298,114.4802
1/1/2004,1.8255,1.2638,112.6356
2/1/2004,1.8673,1.264,113.0747
3/1/2004,1.8261,1.2261,114.2224
4/1/2004,1.8031,1.1989,115.031
5/1/2004,1.786,1.2,116.8454
6/1/2004,1.8279,1.2146,115.7666
7/1/2004,1.8438,1.2266,114.9737
8/1/2004,1.8203,1.2191,115.1471
9/1/2004,1.7937,1.2224,114.7086
10/1/2004,1.8077,1.2507,113.0771
11/1/2004,1.8607,1.2997,110.1773
12/1/2004,1.9286,1.3406,108.9736
1/1/2005,1.8797,1.3123,109.5418
2/1/2005,1.8871,1.3013,109.7431
3/1/2005,1.9043,1.3185,109.1596
4/1/2005,1.8961,1.2943,110.0809
5/1/2005,1.8559,1.2697,110.5769
6/1/2005,1.8177,1.2155,111.6389
7/1/2005,1.7507,1.2041,112.1025
8/1/2005,1.7944,1.2295,110.6422
9/1/2005,1.8064,1.2234,110.5133
10/1/2005,1.7651,1.2022,111.5674
11/1/2005,1.7349,1.1789,112.3629
12/1/2005,1.7458,1.1861,111.6511
1/1/2006,1.7686,1.2126,110.1981
2/1/2006,1.748,1.194,110.3774
3/1/2006,1.7442,1.2028,110.5359
4/1/2006,1.768,1.2273,109.7646
5/1/2006,1.8687,1.2767,107.5444
6/1/2006,1.8435,1.2661,108.7959
7/1/2006,1.8443,1.2681,108.5049
8/1/2006,1.8941,1.281,107.8084
9/1/2006,1.8839,1.2722,108.0537
10/1/2006,1.8765,1.2617,108.3583
11/1/2006,1.9125,1.2888,107.4592
12/1/2006,1.9629,1.3205,106.6566
1/1/2007,1.9587,1.2993,107.6788
2/1/2007,1.9589,1.308,107.2734
3/1/2007,1.9474,1.3246,106.7481
4/1/2007,1.9879,1.3513,105.4025
5/1/2007,1.9842,1.3518,104.4998
6/1/2007,1.9867,1.3421,104.2476
7/1/2007,2.0355,1.3726,102.9369
8/1/2007,2.011,1.3626,103.4872
9/1/2007,2.0184,1.391,102.1135
10/1/2007,2.0449,1.4233,100.0509
11/1/2007,2.0701,1.4683,98.6049
12/1/2007,2.0161,1.4559,99.453
1/1/2008,1.9702,1.4728,98.6522
2/1/2008,1.9646,1.4759,97.8066
3/1/2008,2.0015,1.552,95.8746
4/1/2008,1.9816,1.5754,95.5019
