date,ipr,pr,q_cpi_infl,q_csi_gr,q_indpro_gr,q_rgdp_gr,q_sp500_ret,sr,su,y
1/1/1983,1.122025227,0.408267707,0.004082677,0.037184595,0.011220252,0.012928662,0.077755767,7.775576691,3.718459495,1.292866182
4/1/1983,2.170101823,1.312935074,0.013129351,0.17704918,0.021701018,0.022310582,0.096997599,9.699759934,17.70491803,2.231058217
7/1/1983,3.311797223,0.999306684,0.009993067,-0.003289474,0.033117972,0.019203291,0.015397722,1.539772228,-0.328947368,1.920329118
10/1/1983,2.543176156,0.98941929,0.009894193,0.003278689,0.025431762,0.020205273,0.002183936,0.218393584,0.327868852,2.020527348
1/1/1984,2.855779114,1.464476975,0.01464477,0.08040201,0.028557791,0.019481284,-0.033049982,-3.30499823,8.040201005,1.948128427
4/1/1984,1.524827485,0.77332243,0.007733224,-0.030020704,0.015248275,0.017260229,-0.029240816,-2.924081572,-3.002070393,1.726022948
7/1/1984,0.704490622,0.958135191,0.009581352,0.023255814,0.007044906,0.009742156,0.029987846,2.998784607,2.325581395,0.97421558
10/1/1984,0.076013932,0.760096897,0.007600969,-0.041052632,0.000760139,0.007913176,0.028903351,2.890335071,-4.105263158,0.791317599
1/1/1985,0.279403768,1.221819816,0.012218198,-0.005291005,0.002794038,0.009843438,0.069611913,6.961191338,-0.529100529,0.984343759
4/1/1985,0.091098505,0.652552819,0.006525528,-0.002120891,0.000910985,0.009071856,0.042231913,4.223191321,-0.212089077,0.907185635
7/1/1985,-0.1680275,0.556071709,0.005560717,-0.016163793,-0.001680275,0.015318746,0.020423279,2.042327862,-1.61637931,1.531874559
10/1/1985,0.595975345,1.284000195,0.012840002,-0.018660812,0.005959753,0.007445974,0.041894704,4.189470351,-1.866081229,0.744597429
1/1/1986,0.580923683,-0.368302333,-0.003683023,0.046073298,0.005809237,0.009183453,0.11048801,11.04880104,4.607329843,0.918345311
4/1/1986,-0.591463759,0.27287479,0.002728748,0.013429752,-0.005914638,0.004569657,0.091114859,9.111485919,1.342975207,0.456965696
7/1/1986,0.405470128,0.54620144,0.005462014,-0.021097046,0.004054701,0.009965367,0.002497182,0.249718151,-2.109704641,0.996536708
10/1/1986,1.092054879,0.723658454,0.007236585,-0.030434783,0.010920549,0.005150861,0.009842138,0.984213839,-3.043478261,0.515086058
1/1/1987,1.310609723,1.252887633,0.012528876,-0.016574586,0.013106097,0.006943745,0.137679782,13.76797824,-1.657458564,0.694374522
4/1/1987,1.723795866,1.149671083,0.011496711,0.01416122,0.017237959,0.011100584,0.048892336,4.88923361,1.416122004,1.110058369
7/1/1987,1.802608553,1.049801539,0.010498015,0.022364217,0.018026086,0.008988071,0.084121716,8.412171605,2.236421725,0.898807127
10/1/1987,2.39283933,0.780500396,0.007805004,-0.086805556,0.023928393,0.016237439,-0.221886774,-22.18867742,-8.680555556,1.623743908
1/1/1988,0.89795662,0.774455355,0.007744554,0.063921993,0.008979566,0.00559242,0.01080116,1.080116036,6.39219935,0.559241972
4/1/1988,0.821718822,1.276317587,0.012763176,0.013888889,0.008217188,0.01304052,0.018368644,1.836864446,1.388888889,1.304051951
7/1/1988,0.396167658,1.260519037,0.01260519,0.025,0.003961677,0.005739042,0.013257836,1.325783582,2.5,0.573904231
10/1/1988,0.701483558,0.997513587,0.009975136,-0.032258065,0.007014836,0.013072809,0.030258884,3.025888406,-3.225806452,1.30728093
1/1/1989,0.446840075,1.232486986,0.01232487,0.030239833,0.004468401,0.009986651,0.055388375,5.53883753,3.023983316,0.998665051
4/1/1989,-0.354137135,1.538478088,0.015384781,-0.055005501,-0.003541371,0.007802097,0.076191841,7.619184133,-5.500550055,0.780209683
7/1/1989,-0.666352462,0.561669756,0.005616698,0.017297297,-0.006663525,0.00740969,0.087053547,8.705354654,1.72972973,0.740968963
10/1/1989,0.403299159,1.192315742,0.011923157,-0.007625272,0.004032992,0.002111358,0.009312126,0.931212559,-0.762527233,0.211135756
1/1/1990,0.673873798,1.798364457,0.017983645,-0.005476451,0.006738738,0.010830178,-0.025817607,-2.581760737,-0.547645126,1.083017804
4/1/1990,0.777168067,1.003515577,0.010035156,-0.00440044,0.007771681,0.003852043,0.03853128,3.853128005,-0.440044004,0.385204315
7/1/1990,0.398276791,1.974881659,0.019748817,-0.149178255,0.003982768,0.000246885,-0.040592428,-4.059242782,-14.91782554,0.024688486
10/1/1990,-1.579563656,1.271623857,0.012716239,-0.215053763,-0.015795637,-0.008597606,-0.059239938,-5.923993799,-21.50537634,-0.859760627
1/1/1991,-1.948154875,0.445379225,0.004453792,0.132,-0.019481549,-0.004714759,0.106915477,10.69154766,13.2,-0.471475926
4/1/1991,0.605083886,0.884906945,0.008849069,0.07063197,0.006050839,0.007700826,0.072219695,7.221969475,7.063197026,0.770082623
7/1/1991,1.320025652,0.73163945,0.007316394,0.023002421,0.013200257,0.004777186,0.018042033,1.804203267,2.300242131,0.477718571
10/1/1991,0.202185413,0.870621838,0.008706218,-0.148817803,0.002021854,0.004346725,0.004028214,0.402821423,-14.88178025,0.434672472
1/1/1992,-0.130110772,0.648210427,0.006482104,-0.015536723,-0.001301108,0.011674513,0.062230523,6.223052281,-1.553672316,1.167451318
4/1/1992,1.715389999,0.715464268,0.007154643,0.102661597,0.0171539,0.010906327,-0.004647793,-0.464779335,10.2661597,1.090632723
7/1/1992,0.742630529,0.710380857,0.007103809,-0.036793693,0.007426305,0.00962751,0.017064341,1.706434128,-3.679369251,0.962750966
10/1/1992,1.055328189,0.845469826,0.008454698,0.085336538,0.010553282,0.00992077,0.015624821,1.562482135,8.533653846,0.992076992
1/1/1993,0.886506705,0.699351003,0.00699351,0.04696449,0.008865067,0.001860874,0.044009481,4.400948127,4.696449026,0.186087426
4/1/1993,0.206414293,0.694397726,0.006943977,-0.058181818,0.002064143,0.005911432,0.006204425,0.620442455,-5.818181818,0.591143179
7/1/1993,0.400403789,0.483521659,0.004835217,-0.065891473,0.004004038,0.004852967,0.017914379,1.791437932,-6.589147287,0.48529671
10/1/1993,1.488039293,0.891118615,0.008911186,0.078571429,0.014880393,0.013173655,0.023345509,2.334550901,7.857142857,1.31736553
1/1/1994,1.239188726,0.544589165,0.005445892,0.096774194,0.012391887,0.009709221,0.010587554,1.05875537,9.677419355,0.97092209
4/1/1994,1.802707737,0.541777622,0.005417776,-0.00867679,0.018027077,0.013482727,-0.039216881,-3.921688066,-0.867678959,1.348272671
7/1/1994,1.285238479,0.940549497,0.009405495,-0.016538037,0.012852385,0.005862477,0.021819016,2.181901589,-1.653803749,0.586247712
10/1/1994,1.994376149,0.533823857,0.005338239,0.025778733,0.019943761,0.011227336,-0.00242213,-0.242213047,2.577873255,1.122733628
1/1/1995,1.068428384,0.729269639,0.007292696,0.012725345,0.010684284,0.003406406,0.043517995,4.351799504,1.272534464,0.340640583
4/1/1995,0.365356468,0.789345969,0.00789346,-0.028353326,0.003653565,0.003481879,0.087580603,8.758060298,-2.835332606,0.34818786
7/1/1995,0.959336837,0.457901843,0.004579018,0.016094421,0.009593368,0.008487799,0.074128748,7.412874768,1.60944206,0.848779853
10/1/1995,0.83115195,0.520664453,0.005206645,-0.037861915,0.008311519,0.007049146,0.055739,5.573899992,-3.786191537,0.70491456
